danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.396,0.634,8,-8.444,0,0.362,0.761,0,0.187,0.662,78.017,audio_features,5CPQK4ck9dTOTlOpa4I7Q4,spotify:track:5CPQK4ck9dTOTlOpa4I7Q4,https://api.spotify.com/v1/tracks/5CPQK4ck9dTOTlOpa4I7Q4,https://api.spotify.com/v1/audio-analysis/5CPQK4ck9dTOTlOpa4I7Q4,329027,4,Magnus Carlsen (feat. Anderson .Paak)
0.685,0.741,9,-4.623,0,0.323,0.282,0,0.322,0.522,80.826,audio_features,1tcx5cpqdcwjy5Oo8rshs5,spotify:track:1tcx5cpqdcwjy5Oo8rshs5,https://api.spotify.com/v1/tracks/1tcx5cpqdcwjy5Oo8rshs5,https://api.spotify.com/v1/audio-analysis/1tcx5cpqdcwjy5Oo8rshs5,225733,4,From Adam (feat. Lil Wayne)
0.606,0.803,1,-6.257,1,0.32,0.0675,0,0.144,0.726,149.927,audio_features,4Iz3JhAC7zaHImhBrgRhz3,spotify:track:4Iz3JhAC7zaHImhBrgRhz3,https://api.spotify.com/v1/tracks/4Iz3JhAC7zaHImhBrgRhz3,https://api.spotify.com/v1/audio-analysis/4Iz3JhAC7zaHImhBrgRhz3,184813,4,Intoxicated (feat. Deion)
0.781,0.661,7,-7.502,0,0.331,0.103,0,0.141,0.394,99.992,audio_features,6DbZh34UeNay5YN77pGAfN,spotify:track:6DbZh34UeNay5YN77pGAfN,https://api.spotify.com/v1/tracks/6DbZh34UeNay5YN77pGAfN,https://api.spotify.com/v1/audio-analysis/6DbZh34UeNay5YN77pGAfN,240680,4,"Outside (feat. E-40, Mvrcus Blvck & Lil E)"
0.755,0.595,11,-6.421,1,0.34,0.0685,0,0.147,0.509,101.987,audio_features,0lUU0YSsYOdJXFyfQNwdH4,spotify:track:0lUU0YSsYOdJXFyfQNwdH4,https://api.spotify.com/v1/tracks/0lUU0YSsYOdJXFyfQNwdH4,https://api.spotify.com/v1/audio-analysis/0lUU0YSsYOdJXFyfQNwdH4,305440,4,"Up On The Wall (feat. Problem, Ty Dolla $ign & YG)"
0.508,0.674,0,-10.736,1,0.646,0.373,0,0.394,0.664,99.146,audio_features,3FiO6OhOVmkUIwjO2F0rur,spotify:track:3FiO6OhOVmkUIwjO2F0rur,https://api.spotify.com/v1/tracks/3FiO6OhOVmkUIwjO2F0rur,https://api.spotify.com/v1/audio-analysis/3FiO6OhOVmkUIwjO2F0rur,171960,4,Sex Skit
0.548,0.637,0,-7.897,1,0.516,0.116,0,0.652,0.349,98.566,audio_features,26Ih9HQZJ5mQUZmm89rMZb,spotify:track:26Ih9HQZJ5mQUZmm89rMZb,https://api.spotify.com/v1/tracks/26Ih9HQZJ5mQUZmm89rMZb,https://api.spotify.com/v1/audio-analysis/26Ih9HQZJ5mQUZmm89rMZb,397067,4,"My Flag/Da Homies (feat. Ty Dolla $ign, Jay 305, AD, Mitch E-Slick, Joe Moses, RJ & Skeme)"
0.484,0.773,6,-6.784,1,0.494,0.0604,0,0.217,0.523,171.742,audio_features,1gHDEjWAPxR5OjoVpvWb4F,spotify:track:1gHDEjWAPxR5OjoVpvWb4F,https://api.spotify.com/v1/tracks/1gHDEjWAPxR5OjoVpvWb4F,https://api.spotify.com/v1/audio-analysis/1gHDEjWAPxR5OjoVpvWb4F,178467,4,Life
0.522,0.309,1,-16.012,1,0.312,0.909,0,0.0939,0.83,178.321,audio_features,4fKhL8wjBWu80F7W8fpJAF,spotify:track:4fKhL8wjBWu80F7W8fpJAF,https://api.spotify.com/v1/tracks/4fKhL8wjBWu80F7W8fpJAF,https://api.spotify.com/v1/audio-analysis/4fKhL8wjBWu80F7W8fpJAF,191227,4,Ride Solo
0.754,0.909,6,-3.323,0,0.23,0.138,0,0.281,0.591,126.994,audio_features,1bW6HUcNcEP9LCuq694yeE,spotify:track:1bW6HUcNcEP9LCuq694yeE,https://api.spotify.com/v1/tracks/1bW6HUcNcEP9LCuq694yeE,https://api.spotify.com/v1/audio-analysis/1bW6HUcNcEP9LCuq694yeE,220079,4,The Game & Skrillex: El Chapo
