"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name"
"73",0.744,0.868,1,-4.524,1,0.047,0.0326,0,0.0822,0.586,93.037,"audio_features","69vlMrzHwATKzupwNcUPyK","spotify:track:69vlMrzHwATKzupwNcUPyK","https://api.spotify.com/v1/tracks/69vlMrzHwATKzupwNcUPyK","https://api.spotify.com/v1/audio-analysis/69vlMrzHwATKzupwNcUPyK",206420,4,"La Santa"
"74",0.801,0.699,11,-8.18,0,0.279,0.00575,0,0.146,0.655,94.605,"audio_features","4YtoipFgf4k0AfD17ZfD5X","spotify:track:4YtoipFgf4k0AfD17ZfD5X","https://api.spotify.com/v1/tracks/4YtoipFgf4k0AfD17ZfD5X","https://api.spotify.com/v1/audio-analysis/4YtoipFgf4k0AfD17ZfD5X",238467,4,"Nuthin' But A ""G"" Thang"
"75",0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,"audio_features","3NqBxTOMCJ3zW9CIP51td4","spotify:track:3NqBxTOMCJ3zW9CIP51td4","https://api.spotify.com/v1/tracks/3NqBxTOMCJ3zW9CIP51td4","https://api.spotify.com/v1/audio-analysis/3NqBxTOMCJ3zW9CIP51td4",275194,1,"Jugaste y Sufrí"
"76",0.784,0.794,0,-4.404,1,0.0434,0.474,6.28e-06,0.35,0.845,119.708,"audio_features","5bP1RCdGcUxkwASwKAbPHa","spotify:track:5bP1RCdGcUxkwASwKAbPHa","https://api.spotify.com/v1/tracks/5bP1RCdGcUxkwASwKAbPHa","https://api.spotify.com/v1/audio-analysis/5bP1RCdGcUxkwASwKAbPHa",185296,4,"No Paras de Hacerme Feliz"
"77",0.745,0.972,7,-3.506,1,0.0774,0.00903,0.465,0.297,0.556,128.031,"audio_features","4Clmg1g8n2yBYG13Z1oSdG","spotify:track:4Clmg1g8n2yBYG13Z1oSdG","https://api.spotify.com/v1/tracks/4Clmg1g8n2yBYG13Z1oSdG","https://api.spotify.com/v1/audio-analysis/4Clmg1g8n2yBYG13Z1oSdG",189818,4,"Baila Conmigo (feat. Kelly Ruiz)"
"78",0.631,0.665,10,-7.589,0,0.229,0.602,1.7e-06,0.152,0.634,80.353,"audio_features","4MZSqgwlE71CWZ6qQ3gkKm","spotify:track:4MZSqgwlE71CWZ6qQ3gkKm","https://api.spotify.com/v1/tracks/4MZSqgwlE71CWZ6qQ3gkKm","https://api.spotify.com/v1/audio-analysis/4MZSqgwlE71CWZ6qQ3gkKm",157967,4,"<3"
"79",0.434,0.207,2,-11.805,0,0.035,0.877,8.01e-05,0.118,0.435,181.204,"audio_features","2BaBwcllqDMkoD9184xOxP","spotify:track:2BaBwcllqDMkoD9184xOxP","https://api.spotify.com/v1/tracks/2BaBwcllqDMkoD9184xOxP","https://api.spotify.com/v1/audio-analysis/2BaBwcllqDMkoD9184xOxP",150413,3,"Recuerda"
"80",0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,"audio_features","2JPLbjOn0wPCngEot2STUS","spotify:track:2JPLbjOn0wPCngEot2STUS","https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS","https://api.spotify.com/v1/audio-analysis/2JPLbjOn0wPCngEot2STUS",206710,4,"Yonaguni"
"81",0.762,0.861,4,-4.075,0,0.0652,0.139,1.08e-06,0.0956,0.588,133.037,"audio_features","0Lsis3LB0XAK6XlTHXaJk2","spotify:track:0Lsis3LB0XAK6XlTHXaJk2","https://api.spotify.com/v1/tracks/0Lsis3LB0XAK6XlTHXaJk2","https://api.spotify.com/v1/audio-analysis/0Lsis3LB0XAK6XlTHXaJk2",213609,4,"MALDITA POBREZA"
"82",0.823,0.66,7,-5.721,1,0.105,0.175,0,0.0641,0.557,97.524,"audio_features","4BRyqWvTTL74cJSpYKBZAz","spotify:track:4BRyqWvTTL74cJSpYKBZAz","https://api.spotify.com/v1/tracks/4BRyqWvTTL74cJSpYKBZAz","https://api.spotify.com/v1/audio-analysis/4BRyqWvTTL74cJSpYKBZAz",306539,3,"Sigan Atentos"
